șa (10, 5.84795%)
eu (9, 5.26316%)
fi (9, 5.26316%)
de (6, 3.50877%)
in (6, 3.50877%)
si (5, 2.92398%)
preda (4, 2.33918%)
bun (3, 1.75439%)
din (3, 1.75439%)
iar (3, 1.75439%)
interesa (3, 1.75439%)
liceu (3, 1.75439%)
nu (3, 1.75439%)
activitate (2, 1.16959%)
alega (2, 1.16959%)
avea (2, 1.16959%)
cu (2, 1.16959%)
la (2, 1.16959%)
pentru (2, 1.16959%)
profesor (2, 1.16959%)
temă (2, 1.16959%)
un (2, 1.16959%)
vianu (2, 1.16959%)
șină (2, 1.16959%)
acasă (1, 0.584795%)
activ (1, 0.584795%)
adică (1, 0.584795%)
afla (1, 0.584795%)
al (1, 0.584795%)
anticipa (1, 0.584795%)
apropia (1, 0.584795%)
astfel (1, 0.584795%)
bine (1, 0.584795%)
binecunoscut (1, 0.584795%)
bucurești (1, 0.584795%)
ca (1, 0.584795%)
calitate (1, 0.584795%)
car (1, 0.584795%)
cat (1, 0.584795%)
cel (1, 0.584795%)
cerință (1, 0.584795%)
cocoșa (1, 0.584795%)
concis (1, 0.584795%)
cum (1, 0.584795%)
cură (1, 0.584795%)
cât (1, 0.584795%)
desfășura (1, 0.584795%)
dincolo (1, 0.584795%)
dintre (1, 0.584795%)
disciplină (1, 0.584795%)
dor (1, 0.584795%)
el (1, 0.584795%)
elev (1, 0.584795%)
etc (1, 0.584795%)
exagera (1, 0.584795%)
exces (1, 0.584795%)
extrașcolar (1, 0.584795%)
fizic (1, 0.584795%)
gheorghe (1, 0.584795%)
implica (1, 0.584795%)
info (1, 0.584795%)
informatic (1, 0.584795%)
interactiv (1, 0.584795%)
intersemenstrial (1, 0.584795%)
intra (1, 0.584795%)
lazăr (1, 0.584795%)
lele (1, 0.584795%)
mai (1, 0.584795%)
mat (1, 0.584795%)
matematic (1, 0.584795%)
mihai (1, 0.584795%)
mod (1, 0.584795%)
mulțumesc (1, 0.584795%)
muncă (1, 0.584795%)
nașpa (1, 0.584795%)
ni (1, 0.584795%)
obligă (1, 0.584795%)
oferi (1, 0.584795%)
oscilă (1, 0.584795%)
pe (1, 0.584795%)
place (1, 0.584795%)
posibil (1, 0.584795%)
pretenție (1, 0.584795%)
prin (1, 0.584795%)
principiu (1, 0.584795%)
profesorie (1, 0.584795%)
profil (1, 0.584795%)
provincie (1, 0.584795%)
raport (1, 0.584795%)
recupera (1, 0.584795%)
rămâne (1, 0.584795%)
răspunde (1, 0.584795%)
simț (1, 0.584795%)
special (1, 0.584795%)
spera (1, 0.584795%)
timp (1, 0.584795%)
toceală (1, 0.584795%)
tot (1, 0.584795%)
transfera (1, 0.584795%)
tudor (1, 0.584795%)
târg (1, 0.584795%)
unu (1, 0.584795%)
viteaz (1, 0.584795%)
vrea (1, 0.584795%)
încât (1, 0.584795%)
țipa (1, 0.584795%)
